id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6938818,Best Secrete in Town,36381578,Harris,,Seacliff,37.78150459332211,-122.50475432865285,Private room,119,1,7,2015-08-17,3.09,1,314
2316478,2+BR Beach Cottage-w/Parking+Views,117610,Angeline,,Seacliff,37.779118193158624,-122.5130645565712,Entire home/apt,200,1,88,2015-08-23,4.90,1,332
3168359,Charming & Private Ideal location,16071511,Jamie,,Seacliff,37.77931903796439,-122.50963522313913,Entire home/apt,224,3,53,2015-08-19,4.26,2,92
8001958,Ocean and park front panoramic view,24591867,Raul,,Seacliff,37.780707805327296,-122.50915996453602,Entire home/apt,150,1,0,,,1,2
2134100,Ocean Beach hilltop cottage,10889606,Marty And Alexis,,Seacliff,37.78388809323231,-122.50855676227975,Entire home/apt,145,1,121,2015-08-12,6.22,1,312
69681,Panorama Pacific View,127367,Annette,,Seacliff,37.77706906926253,-122.50923187258286,Entire home/apt,325,18,4,2014-08-12,0.08,16,365
6032828,Historic Seacliff Home,30384615,Patricia,,Seacliff,37.78365768872652,-122.48939776997223,Entire home/apt,300,1,0,,,1,112
985949,San Francisco Penthouse OCEAN VIEW,5410668,Adrienne,,Seacliff,37.775742877728625,-122.5111427429351,Private room,175,2,23,2015-08-19,2.65,1,312
4688930,Modern remodel + period charm,257986,Nathan,,Seacliff,37.78203449104474,-122.49421436394853,Entire home/apt,215,1,1,2015-05-24,0.29,1,95
6359043,Oceanside Parkside View,33127643,Danielle,,Seacliff,37.77587674199394,-122.50916064354244,Private room,115,2,9,2015-08-12,2.78,1,72
4781448,3 Bd 2.5 Ba Full Flat Condo w Views,13112558,Pam,,Seacliff,37.781796503922656,-122.49249210833337,Entire home/apt,835,2,1,2015-08-11,1,1,15
8087607,Single Room Beautiful Beach Condo,3264449,Keith,,Seacliff,37.77531800696514,-122.511620556222,Private room,79,1,0,,,1,0
1931937,Blocks from GG Park & Ocean Beach,7932270,Noamy,,Seacliff,37.78156408540695,-122.49442445483002,Private room,100,2,18,2015-08-14,0.93,2,137
