State,Gun Murders,Code
Alabama,135,AL
Alaska,41,AK
Arizona,258,AZ
Arkansas,154,AR
California,1697,CA
Colorado,149,CO
Connecticut,83,CT
Delaware,54,DE
District of Columbia,105,DC
Florida,669,FL
Georgia,540,GA
Hawaii,5,HI
Idaho,30,ID
Illinois,364,IL
Indiana,299,IN
Iowa,55,IA
Kansas,89,KS
Kentucky,160,KY
Louisiana,407,LA
Maine,21,ME
Maryland,309,MD
Massachusetts,131,MA
Michigan,531,MI
Minnesota,82,MN
Mississippi,161,MS
Missouri,402,MO
Montana,27,MT
Nebraska,51,NE
Nevada,169,NV
New Hampshire,12,NH
New Jersey,337,NJ
New Mexico,96,NM
New York,613,NY
North Carolina,469,NC
North Dakota,14,ND
Ohio,436,OH
Oklahoma,167,OK
Oregon,73,OR
Pennsylvania,609,PA
Rhode Island,25,RI
South Carolina,301,SC
South Dakota,15,SD
Tennessee,370,TN
Texas,1141,TX
Utah,61,UT
Vermont,10,VT
Virginia,337,VA
Washington,172,WA
West Virginia,62,WV
Wisconsin,158,WI
Wyoming,13,WY
