Year,DJIA,MonthlyEarnings
1979,839,1044
1980,964,1135
1981,875,1231
1982,1047,1309
1983,1259,1356
1984,1212,1413
1985,1547,1491
1986,1896,1556
1987,1939,1621
1988,2169,1668
1989,2753,1729
1990,2634,1785
1991,3169,1846
1992,3301,1907
1993,3754,1989
1994,3834,2024
1995,5117,2076
1996,6448,2123
1997,7908,2179
1998,9181,2266
1999,11497,2379
2000,10787,2496
2001,10022,2582
2002,8342,2634
2003,10454,2686
2004,10783,2764
2005,10718,2821
2006,12463,2907
2007,13265,3011
2008,8776,3128
2009,10428,3202
2010,11578,3237
2011,12218,3276
2012,13104,3328
2013,16577,3362
2014,17823,3427
