,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
0,N/A,N/A,a,N/A,N/A,N/A,N/A,N/A,39.69,31.05,3.06,2.96,9.93,13.08,3.61,9.25,12.13,12380000000.0,12010000000.0,16.94,1.76,2.97,15.38,2.97,2040000000.0,15.38,438000000.0,1.20,110.30,0.80,2000000000.0,6.03,1660000000.0,3.78,12.57,1300000000.0,1.20,0.39,85.20,6460000.0,2.38,2.15,5960000.0,N/A
1,N/A,N/A,aapl,N/A,N/A,N/A,N/A,N/A,54.02,10.50,2.31,4.52,22.85,30.48,17.05,46.25,40.62,5.3665e+11,5.6139e+11,9.26,0.84,2.40,6.81,2.40,93630000000.0,6.81,53390000000.0,9.22,31.40,22.30,42000000000.0,7.53,64480000000.00001,1.11,21.40,81270000000.0,1.06,0.03,60.20,68190000.0,1.63,1.23,74240000.0,N/A
2,N/A,N/A,abbv,N/A,N/A,N/A,N/A,N/A,660.77,33.15,4.10,18.48,12.86,35.58,11.70,59.26,13.56,93430000000.0,1.1272e+11,11.36,0.64,5.14,13.16,5.14,15530000000.0,13.16,2810000000.0,1.72,144.90,18.40,9310000000.0,5.70,32130000000.000004,2.03,2.98,4990000000.0,1.62,0.10,73.60,24120000.0,3.20,1.52,21090000.0,N/A
3,N/A,N/A,abt,N/A,N/A,N/A,N/A,N/A,39.38,13.31,2.93,2.86,22.17,15.98,4.88,11.51,13.70,59610000000.0,62530000000.0,16.86,1.86,3.04,13.26,3.04,11030000000.0,13.26,2520000000.0,3.00,7.80,1.40,6140000000.0,4.12,8359999999.999999,1.82,14.15,3380000000.0,1.39,0.21,70.50,15610000.0,2.80,1.06,16070000.0,N/A
4,N/A,N/A,aci,N/A,N/A,N/A,N/A,N/A,135.46,25.21,2.15,3.69,8.57,14.98,5.40,15.72,8.81,2230000000.0,2940000000.0,24.45,1.44,2.86,14.82,2.86,561390000.0,14.82,88040000.0,0.75,6.10,4.40,80860000.0,0.68,811270000.0,1.04,5.06,196030000.0,1.15,2.13,101.10,3890000.0,7.78,3.88,3530000.0,N/A
5,N/A,N/A,acn,N/A,N/A,N/A,N/A,N/A,0.43,20.87,2.04,10.75,9.76,14.55,15.91,52.33,49.76,62200000000.0,60610000000.0,17.32,1.93,1.94,11.67,1.94,9810000000.0,11.67,3040000000.0,4.75,1.50,1.50,3080000000.0,4.90,27660000.0,1.25,9.43,3830000000.0,1.04,0.21,83.10,9730000.0,3.87,1.55,8850000.0,N/A
6,N/A,N/A,adi,N/A,N/A,N/A,N/A,N/A,17.86,22.99,4.49,3.04,20.29,30.94,9.54,14.18,10.99,15780000000.0,13290000000.0,15.10,1.71,3.87,10.34,3.87,2260000000.0,10.34,696880000.0,2.20,11.40,20.20,3030000000.0,9.71,906070000.0,3.66,16.26,907800000.0,1.15,0.75,88.30,4980000.0,1.96,1.61,6080000.0,N/A
7,N/A,N/A,adm,N/A,N/A,N/A,N/A,N/A,37.94,10.80,0.25,1.03,2.54,3.38,3.69,9.62,114.57,18670000000.0,23850000000.0,10.33,142.88,0.33,7.13,0.33,4770000000.0,7.13,1830000000.0,2.90,66.30,8.60,1140000000.0,1.91,6780000000.0,1.63,29.72,1640000000.0,1.26,2.23,77.00,10460000.0,2.07,1.70,8250000.0,N/A
8,N/A,N/A,adp,N/A,N/A,N/A,N/A,N/A,43.09,24.80,3.29,7.92,13.48,18.34,3.94,27.11,23.66,36080000000.0,35270000000.0,21.08,2.31,3.18,15.25,3.18,4510000000.0,15.25,1420000000.0,3.15,14.00,5.80,3210000000.0,6.96,2000000000.0,1.14,9.99,1620000000.0,0.86,0.14,78.10,4280000.0,2.74,0.92,4630000.0,N/A
9,N/A,N/A,adt,N/A,N/A,N/A,N/A,N/A,184.79,16.70,1.33,1.64,8.28,19.42,4.08,9.79,20.90,4740000000.0,10080000000.0,12.76,1.58,2.82,5.54,2.82,2000000000.0,5.54,296000000.0,1.72,1.20,1.80,78000000.0,0.47,5390000000.0,0.61,17.60,1600000000.0,1.35,0.22,122.20,37520000.0,22.45,26.17,38110000.0,N/A
